8,No,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG,Lattitude,longitude,.1,.2,.3
,1,CIDADAP,HEGARMANAH,"Jl. Ciumbuleuit No.83, Hegarmanah, Kecamatan Cidadap, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cidadap Hegarmanah 3,-6.8805313,107.6036826,,,
,2,SUMUR BANDUNG,KEBON PISANG,"Jl. Naripan No.28B, Kelurahan Kebon Pisang, Kecamatan Sumur Bandung, Kota Bandung, Jawa Barat",SPPG Kota Bandung Sumur Bandung Kebon Pisang,-6.9204002,107.6127704,,,
,3,MANDALAJATI,PASIR IMPUN,"Jl. Arcamanik No. 41A, Pasir Impun, Kec. Mandalajati, Kota Bandung, Jawa Barat",SPPG Kota Bandung Mandalajati Pasir Impun 3,-6.8998947,107.6806923,,,
,4,ANTAPANI,ANTAPANI KIDUL,"Jl. Sukanagara No.4, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 40291",SPPG Kota Bandung Antapani Antapani Kidul 1,-6.9200517,107.657282,,,
,5,ARCAMANIK,SUKAMISKIN,"Jl. Sahardjo, Kel. Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat",SPPG Polda Jabar 1,-6.9071727,107.6755325,,,
,6,ASTANA ANYAR,KARASAK,"Jl. Karasak Utara Iv No. 18, Karasak, Kecamatan Astana Anyar, Kota Bandung, Jawa Barat",SPPG Kota Bandung Astana Anyar Karasak 2,-6.9455372,107.6046491,,,
,7,SUKASARI,SUKARASA,"Jl. , Sentrasari V No7, RT 005, RW.02, Kecamatan Sukasari, Kota Bandung, Jawa Barat",SPPG Kota Bandung Sukasari Sukarasa 2,-6.8742455,107.5881191,,, 
,8,BABAKAN CIPARAY,SUKAHAJI,"Jl. Situ No.34, RT 009, RW 010, Sukahaji, Babakan Ciparay, Kota Bandung, Jawa Barat",SPPG Kota Bandung Babakan Ciparay Sukahaji 1,-6.9212827,107.5831317,,,
,9,RANCASARI,MANJAHLEGA,jl Merkuri Tengah no 6  Desa manjahlega kecamatan Rancasari kota Bandung,SPPG Kota Bandung Rancasari Manjahlega,-6.9452699,107.6672212,,,
,10,RANCASARI,DERWATI,"Derwati, Kecamatan Rancasari, Kota Bandung, Jawa Barat",SPPG Kota Bandung Rancasari Derwati,-6.960213,107.682207,,,
,11,BANDUNG KIDUL,BATUNUNGGAL,"Parakan Permai No. 2-4 RT 004 RW 001 Kelurahan Batununggal, Kecamatan Bandung Kidul, Jawa Barat",SPPG Kota Bandung Bandung Kidul Batununggal 2,-6.9492541,107.6313636,,,
,12,BATUNUNGGAL,GUMURUH,"Jl. Gumuruh No.41, Gumuruh, Batununggal, Kota Bandung, Jawa Barat",SPPG Kota Bandung Batununggal Gumuruh,-6.9323208,107.6394322,,,
,13,ANDIR,DUNGUS CARIANG,"Jl. Lmu. Nurtanio No.53, Dungus Cariang, Kec. Andir, Kota Bandung, Jawa Barat",SPPG Kota Bandung Andir Dungus Cariang 3,-6.9131578,107.5778284,,,
,14,CICENDO,HUSEIN SASTRANEGARA,"LANUD HUSEIN SASTRANEGARA, gudang GPP 2, gudang 10, kelurahan Husein, kecamatan Cicendo, Kota Bandung 40174",SPPG Kota Bandung Cicendo Husein Sastranegara 1,-6.9039886,107.5799633,,,
,15,BANDUNG KIDUL,BATUNUNGGAL,"Jl. Batu Indah XIV No.5, Batununggal, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40266",SPPG Kota Bandung Bandung Kidul Batununggal 1,-6.9533979,107.6320326,,,
,16,ANDIR,DUNGUS CARIANG,"Jl. Andir 111 Rt 05 Rw 10, Dungus Cariang, Kec. Andir, Kota Bandung, Jawa Barat",SPPG Kota Bandung Andir Dungus Cariang 2,-6.9122288,107.5826692,,,
,17,ASTANA ANYAR,PELINDUNG HEWAN,"Jl. Inhoftank No 16 Rt 04 Rw 04 Kelurahan Pelindung Hewan, Kecamatan Astanaanyar, Kota Bandung, Jawa Barat",SPPG Kota Bandung Astana Anyar Pelindung Hewan,-6.9440076,107.6029438,,,
,18,SUKASARI,ISOLA,"Jl. Abadi III No. 6 Keluarahan Isola Sukasari Kota Bandung, Isola, Sukasari, Kota Bandung, Jawa Barat",SPPG Kota Bandung Sukasari Isola 1,-6.8630218,107.5825659,,,
,19,SUMUR BANDUNG,MERDEKA,"Jl Gudang Utara No 27, Bengrah Tni Bandung, Kelurahan Merdeka, Kecamatan Sumur Bandung, Kota Bandung, Jawa Barat",SPPG Kota Bandung Sumur Bandung Merdeka,-6.9164122,107.6247658,,,
,20,CICENDO,PAJAJARAN,"Jl. Baladewa No.09, Pajajaran, Kecamatan Cicendo, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cicendo Pajajaran 2,-6.9052781,107.5904368,,,
,21,COBLONG,LEBAK SILIWANGI,"Jl. Sumur Bandung No.6, Lebak Siliwangi, Kecamatan Coblong, Kota Bandung, Jawa Barat",SPPG Kota Bandung Coblong Lebak Siliwangi,-6.8864157,107.6123303,,,
,22,UJUNGBERUNG,CIGENDING,Komplek ujung berung indah blok 2 No.1,SPPG Kota Bandung Ujungberung Cigending,,,,,
,23,CIBEUNYING KALER,NEGLASARI,"Jalan Terusan Cikutra Baru No. 22, Kelurahan Neglasari, Kecamatan Cibeunying Kaler, Kota Bandung, Jawa Barat`",SPPG Kota Bandung Cibeunying Kaler Neglasari 2,-6.8976635,107.6419637,,,
,24,BABAKAN CIPARAY,BABAKAN CIPARAY,"Jl. Soekarno Hatta No. 199, Babakan Ciparay, Kecamatan Babakan Ciparay, Kota Bandung, Jawa Barat",SPPG Kota Bandung Babakan Ciparay Babakan Ciparay,-6.9416145,107.5830126,,,
,25,BANDUNG KULON,CIBUNTU,"Jl. Raya Cijerah No 39, Kelurahan Cijerah, Kecamatan Bandung Kulon, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Kulon Cijerah,-6.9184698,107.5705678,,,
,26,SUKASARI,SUKARASA,"Jl. Sukahaji Indah No. 2A, Kelurahan Sukarasa, Kecamatan Sukasari, Kota Bandung, Provinsi Jawa Barat",SPPG Kota Bandung Sukasari Sukarasa,-6.86925,107.5850813,,,
,27,ARCAMANIK,CISARANTEN KULON,"Jl. Permata Bumi Raya no. 28, Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat",SPPG Kota Bandung Arcamanik Cisaranten Kulon 3,-6.9191776,107.6828586,,,
,28,BUAHBATU,SEKEJATI,"Jl. Cijawura Girang IIII No.28, Sekejati, Kecamatan Buahbatu, Kota Bandung, Jawa Barat",SPPG Kota Bandung Buahbatu Sekejati 3,-6.9466312,107.6485756,,,
,29,RANCASARI,MEKARJAYA,"Jl. Cipamokolan no.92 , Rt04/Rw03, Kel, Mekarjaya, Kec. Rancasari",SPPG Kota Bandung Rancasari Mekarjaya 2,-6.9632526,107.676255,,,
,30,RANCASARI,MANJAHLEGA,"Jl. Rancabolang No 145 Kel. Manjahlega, Kec. Rancasari, Kota Bandung, Jawa Barat",SPPG Kota Bandung Rancasari Manjahlega 3,-6.9492344,107.6623446,,,
,31,ARCAMANIK,SUKAMISKIN,"Jl.Golf Timur 4 No 6 Kelurahan sukamiskin, Kecamatan Arcamanik, Kota Bandung, Jawa Barat",SPPG Kota Bandung Arcamanik Sukamiskin 2,-6.9150418,107.6779448,,,
,32,ANTAPANI,ANTAPANI TENGAH,"Jl. Parakan Saat No.3, Antapani Tengah, Kec. Antapani, Kota Bandung, Jawa Barat",SPPG Kota Bandung Antapani Antapani Tengah 2,-6.9269018,107.6687154,,,
,33,BOJONGLOA KALER,KOPO,"Jl. Caringin No 74A, Kopo, Kecamatan Bojongloa Kaler, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bojongloa Kaler Kopo 2,-6.9458951,107.5847468,,,
,34,ANDIR,GARUDA,Jl. Rajawali III No. 7 RT 03 RW 02,SPPG Kota Bandung Andir Garuda,-2.1913622,113.8910122,,,
,35,REGOL,CIGERELENG,"Jl. Srigalih No 06, Cigereleng, Kec. Regol, Kota Bandung, Jawa Barat",SPPG Kota Bandung Regol Cigereleng 2,-6.9370025,107.6109662,,,
,36,BABAKAN CIPARAY,SUKAHAJI,JL. Jamika Lama No. 43,SPPG Kota Bandung Babakan Ciparay Sukahaji 2,-6.9205435,107.5855267,,,
,37,CICENDO,HUSEIN SASTRANEGARA,"Jl. Komud Supadio No. 17 RT 01 RW 05, Kel. Husein
Sastranegara, Kec. Cicendo, Kota Bandung",SPPG Kota Bandung Cicendo Husein Sastranegara 7,-6.9107728,107.5865993,,,
,38,CICENDO,SUKARAJA,"Jl. Kartamiharja 9 , Sukaraja, Cicendo, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cicendo Sukaraja,-6.8931881,107.5627752,,,
,39,CICENDO,HUSEIN SASTRANEGARA,"Jl. Komodor Udara Supadio No.42 Rt.06 Rw.06 Jatayu, Kelurahan Husein Sastranegara, Kecamatan Cicendo, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cicendo Husein Sastranegara 5,-6.9115419,107.589394,,,
,40,ANDIR,KEBON JERUK,"Jl. Kebon Tangkil No. 11, Kebon Jeruk, Kecamatan Andir, Kota Bandung, Jawa Barat",SPPG Kota Bandung Andir Kebon Jeruk,-6.918694,107.5977663,,,
,41,CICENDO,HUSEIN SASTRANEGARA,"Kawasan Produksi-1 Bandara Husein Sastranegara, Jalan Pajajaran, Kelurahan Husein Sastranegara, Kecamatan Cicendo, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cicendo Husein Sastranegara 4,-6.9039886,107.5799633,,,
,42,SUKASARI,GEGERKALONG,"Jl. Abadi I No.31, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat 40153",SPPG Kota Bandung Sukasari Gegerkalong 1,-6.8632773,107.5841095,,,
,43,LENGKONG,CIJAGRA,"Jalan Suryalaya Xii No. 21, Cijagra, Lengkong, Kota Bandung, Jawa Barat",SPPG Kota Bandung Lengkong Cijagra 3,-6.9466444,107.6222779,,,
,44,ARCAMANIK,SUKAMISKIN,Jl. Cisaranten Kulon No. 91 Kec. Arcamanik Kota Bandung Jawa Barat,SPPG Kota Bandung Arcamanik Sukamiskin,-6.9195462,107.6848664,,,
,45,CIBIRU,CISURUPAN,"KP. CISURUPAN RT 005 RW 002, CISURUPAN, CIBIRU, KOTA BANDUNG JAWA BARAT",SPPG Kota Bandung Cibiru Cisurupan 2,-6.9044666,107.7266117,,,
,46,BANDUNG KULON,WARUNG MUNCANG,"Jl. Holis 147, Warung Muncang, Bandung Kulon, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Kulon Warung Muncang,-6.9297082,107.5735146,,,
,47,ANDIR,CAMPAKA,"Jl. Raya Cimindi No.88, Campaka, Kecamatan Andir, Kota Bandung, Jawa Barat",SPPG Kota Bandung Andir Campaka 2,-6.900591,107.5632761,,,
,48,KIARACONDONG,CICAHEUM,Kelurahaan Cicaheum Kecamatan Kiaracondong Kota Bandung Jawa Barat,SPPG Kota Bandung Kiaracondong Cicaheum,-6.9105695,107.6497351,,,
,49,KIARACONDONG,SUKAPURA,"Jl. Soekarno Hatta No. 657 Kel. Sukapura Kec. Kiaracondong Kota Bandung, Jawa Barat",SPPG Kota Bandung Kiaracondong Sukapura 2,-6.9416216,107.6531724,,,
,50,CICENDO,HUSEIN SASTRANEGARA,"Jl. Pajajaran Kelurahan Husein, Kecamatan Cicendo, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cicendo Husein Sastranegara 6,-6.9052688,107.5836058,,,
,51,CIBEUNYING KIDUL,SUKAMAJU,"Jalan Citamiang No. 57, Kelurahan Sukamaju, Kecamatan Cibeunying Kidul, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cibeunying Kidul Sukamaju,-6.9075634,107.6348105,,,
,52,ANDIR,GARUDA,"Jl. Garuda No.28 Rt 01 Rw 02, Garuda, Kecamatan Andir, Kota Bandung, Jawa Barat",SPPG Kota Bandung Andir Garuda 2,-6.9149189,107.5771344,,,
,53,GEDEBAGE,CIMINCRANG,"Jl. Rancanumpang No 46, Rt 03 Rw 06 Kelurahan Cimencrang, Kecamatan Gedebage, Kota Bandung, Jawa Barat",SPPG Kota Bandung Gedebage Cimincrang,-6.953433,107.7060023,,,
,54,ANTAPANI,ANTAPANI KIDUL,"Jl. Randu Sari Raya, Antapani Kidul, Antapani, Kota Bandung, Jawa Barat",SPPG Kota Bandung Antapani Antapani Kidul 3,-6.927621,107.6620111,,,
,55,MANDALAJATI,PASIR IMPUN,"Jl. Arcamanik Gg. Cempaka No. 26A Rt.001 Rw. 09, Pasir Impun, Kecamatan Mandalajati, Kota Bandung, Jawa Barat",SPPG Kota Bandung Mandalajati Pasir Impun,-6.9007179,107.6802083,,,
,56,ASTANA ANYAR,NYENGSERET,"Jl. Pajagalan No 59 Karanganyar, Kecamatan Astana Anyar, Kota Bandung, Jawa Barat",SPPG Kota Bandung Astana Anyar Nyengseret,-6.924961,107.6007013,,,
,57,CIBEUNYING KALER,CIGADUNG,"Jl. Kasungka No.3B Rt/Rw 005/001, Dapur 2, Cigadung, Cibeunying Kaler, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cibeunying Kaler Cigadung  2,-6.8752329,107.6280554,,,
,58,BANDUNG WETAN,TAMAN SARI,"Jl. Dr. Hatta No. 15 Kel Tamansari, Kec. Bandung Wetan, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Wetan Taman Sari 2,-6.9018408,107.6029569,,,
,59,ARCAMANIK,CISARANTEN BINA HARAPAN,"Jl. A.H.Nasution No.114, RW 03 RT 03, Kel Cisaranten Bina Harapan,Kec Arcamanik,Kota Bandung,Jawa Barat",SPPG Kota Bandung Arcamanik Cisbinhar,-6.9051952,107.6755137,,,
,60,SUKASARI,SARIJADI,"Jl. Cipedes Tengah 78, Sarijadi, Kecamatan Sukasari, Kota Bandung, Jawa Barat",SPPG Kota Bandung Sukasari Sarijadi 2,-6.888159,107.591114,,,
,61,LENGKONG,CIJAGRA,"Jl. Pualam No. 2 Cijagra, Kec. Lengkong, Kota Bandung, Jawa Barat",SPPG Kota Bandung Lengkong Cijagra 4,-6.940866,107.6234684,,,
,62,COBLONG,LEBAK GEDE,Jl. Dipatiukur No. 93A,SPPG Kota Bandung Coblong Lebak Gede,-6.8870552,107.6148853,,,
,63,GEDEBAGE,CISARANTEN KIDUL,Jl. Cimincrang No. 18 RT/RW. 003/004,SPPG Kota Bandung Gedebage Cisaranten Kidul,-6.9392597,107.7064967,,,
,64,REGOL,CIGERELENG,"Jl. Kembar Baru Utara No.3, Cigereleng, Kecamatan Regol, Kota Bandung, Jawa Barat.",SPPG Kota Bandung Regol Cigereleng 1,-6.9397533,107.6122703,,,
,65,CICENDO,HUSEIN SASTRANEGARA,Dapur 9 GPP 2 Pusbekmatau Lanud Husen Sastranegara Cicendo Kota Bandung,SPPG Kota Bandung Cicendo Husein Sastranegara 2,-6.9048875,107.5773594,,,
,66,SUKAJADI,CIPEDES,"Jl. Lembah Sukaresmi Iii No 22 Rt 02 Rw 10, Kel. Cipedes, Kecamatan Sukajadi, Kota Bandung, Jawa Barat",SPPG Kota Bandung Sukajadi Cipedes,-6.8804511,107.5911505,,,
,67,LENGKONG,LINGKAR SELATAN,"Jalan Terusan Galunggung No. 11 A, Kelurahan Lingkar Selatan, Kecamatan Lengkong, Kota Bandung, Jawa Barat",SPPG Kota Bandung Lengkong Lingkar Selatan 3,-6.9288025,107.6250921,,,
,68,UJUNGBERUNG,PASANGGRAHAN,"Jalan Sekedangdeur No.23, Rt002/010, Kelurahan Pasanggarahan, Kecamatan Ujung Berung, Kota Bandung, Jawa Barat",SPPG Kota Bandung Ujungberung Pasanggrahan 2,-6.9061256,107.7177553,,,
,69,PANYILEUKAN,CIPADUNG KULON,"Jl. Sindangsari, Kelurahan Cipadung Kulon, Kecamatan Panyileukan, Kota Bandung, Jawa Barat",SPPG Kota Bandung Panyileukan Cipadung Kulon 2,-6.9193612,107.7012958,,,
,70,BANDUNG KULON,CARINGIN,"Jl. Bojong Raya No 20, Caringin, Kecamatan Bandung Kulon, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Kulon Caringin 2,-6.9278571,107.5723384,,,
,71,LENGKONG,TURANGGA,Jl.Reog 21 Turangga Bandung,SPPG Kota Bandung Lengkong Turangga 1,-6.9392517,107.6312325,,,
,72,LENGKONG,TURANGGA,"Jl. Salendro Utara No.20, Turangga, Kec. Lengkong, Kota Bandung, Jawa Barat 40264",SPPG Kota Bandung Lengkong Turangga 2,-6.9372742,107.6340129,,,
,73,BANDUNG KULON,WARUNG MUNCANG,"Jl. Nana Rohana No.59, Wr. Muncang, Kecamatan Bandung Kulon, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Kulon Warung Muncang 4,-6.9202231,107.5774449,,,
,74,BABAKAN CIPARAY,BABAKAN CIPARAY,"Jl. Caringin No.33, Babakan Ciparay, Kecamatan Babakan Ciparay, Kota Bandung, Jawa Barat",SPPG Kota Bandung Babakan Ciparay Babakan Ciparay 2,-6.9467794,107.5870298,,,
,75,BANDUNG KULON,CIBUNTU,"Jl. Holis No 34 Rt009/003, Cibuntu, Bandung Kulon, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Kulon Cibuntu,-6.9198299,107.5756361,,,
,76,UJUNGBERUNG,PASIR ENDAH,"Jl. Cijalupang No. 42, Pasir Endah Ujung Berung, Kota Bandung Provinsi Jawa Barat",SPPG Kota Bandung Ujungberung Pasir Endah,-6.9065009,107.6891971,,,
,77,GEDEBAGE,RANCABOLANG,"Jalan Gedebage Selatan No. 56, Kelurahan Rancabolang, Kecamatan Gedebage, Kota  Bandung, Provinsi Jawa Barat",SPPG Kota Bandung Gedebage Rancabolang,-6.9610452,107.686549,,,
,78,BANDUNG KIDUL,KUJANGSARI,"Buana Sari Raya No. 18 Kel. Kujangsari Kec. Bandung Kidul Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Kidul Kujangsari,-6.9630286,107.6427858,,,
